Request ID,Booking ID,Room ID,Room_Number,Room_Type,Request_Type,Capacity,Occupants,Client,Menu_ID,Menu_Name,orders,Time,Days,Room_Rate,Hotel_Cost,Food_Cost,Total_Cost,Request Start Date
1,1,5,L0,conference_room_large,conference,50,27,Dr. Iza Gerhold,6,deluxe-breakfast,3,10:15:00,3,150,450,36,486,2016-02-07
1,1,5,L0,conference_room_large,conference,50,27,Dr. Iza Gerhold,8,deluxe-lunch,2,18:48:00,3,150,450,20,470,2016-02-07
1,1,5,L0,conference_room_large,conference,50,27,Dr. Iza Gerhold,8,deluxe-lunch,5,11:35:00,3,150,450,50,500,2016-02-07
2,2,5,L0,conference_room_large,conference,50,22,Ila Sawayn,7,simple-lunch,4,17:53:00,8,150,1200,20,1220,2016-03-13
2,2,5,L0,conference_room_large,conference,50,22,Ila Sawayn,7,simple-lunch,5,14:54:00,8,150,1200,25,1225,2016-03-13
2,2,5,L0,conference_room_large,conference,50,22,Ila Sawayn,11,vegetarian lasagna,1,19:32:00,8,150,1200,16,1216,2016-03-13
2,2,5,L0,conference_room_large,conference,50,22,Ila Sawayn,12,spareribs,5,06:54:00,8,150,1200,85,1285,2016-03-13
3,3,2,D2,double_room,business,3,3,Iverson McCullough,NULL,NULL,NULL,NULL,1,100,100,0,100,2016-02-19
4,4,1,X0,deluxe_room,business,3,1,Katharyn Goyette DVM,NULL,NULL,NULL,NULL,4,150,600,0,600,2016-01-22
5,5,5,L0,conference_room_large,party,50,50,Deloris Vandervort,NULL,NULL,NULL,NULL,4,150,600,0,600,2016-02-22
6,6,4,N0,normal_room,holiday,1,3,Dr. Sydney Hackett PhD,NULL,NULL,NULL,NULL,11,80,880,0,880,2016-03-14
6,7,4,N1,normal_room,holiday,1,3,Dr. Sydney Hackett PhD,9,steak 'n stuff,1,07:52:00,11,80,880,18,898,2016-03-14
6,8,4,N2,normal_room,holiday,1,3,Dr. Sydney Hackett PhD,8,deluxe-lunch,2,10:04:00,11,80,880,20,900,2016-03-14
7,9,4,N0,normal_room,business,1,3,Mattye Kovacek MD,NULL,NULL,NULL,NULL,2,80,160,0,160,2016-01-22
7,10,4,N1,normal_room,business,1,3,Mattye Kovacek MD,NULL,NULL,NULL,NULL,2,80,160,0,160,2016-01-22
7,11,4,N2,normal_room,business,1,3,Mattye Kovacek MD,NULL,NULL,NULL,NULL,2,80,160,0,160,2016-01-22
8,12,5,L6,conference_room_large,party,50,25,Lawson Veum DVM,NULL,NULL,NULL,NULL,1,150,150,0,150,2016-03-02
9,13,2,D1,double_room,business,3,2,Dr. Derrell Schneider V,NULL,NULL,NULL,NULL,2,100,200,0,200,2016-02-01
10,14,1,X23,deluxe_room,business,3,4,Nathan Hyatt,NULL,NULL,NULL,NULL,3,150,450,0,450,2016-03-17
10,15,1,X24,deluxe_room,business,3,4,Nathan Hyatt,NULL,NULL,NULL,NULL,3,150,450,0,450,2016-03-17
11,16,2,D0,double_room,holiday,3,3,Miss Abbigail Kulas,NULL,NULL,NULL,NULL,3,100,300,0,300,2016-03-16
12,17,2,D0,double_room,holiday,3,4,Mrs. Etna Strosin,NULL,NULL,NULL,NULL,6,100,600,0,600,2016-02-02
12,18,2,D4,double_room,holiday,3,4,Mrs. Etna Strosin,NULL,NULL,NULL,NULL,6,100,600,0,600,2016-02-02
13,19,5,L1,conference_room_large,party,50,48,Kelby Feil,2,beer,1,13:17:00,4,150,600,3.5,603.5,2016-02-07
14,20,3,S11,conference_room_small,conference,15,43,Dr. Jeana Bode DDS,NULL,NULL,NULL,NULL,2,80,160,0,160,2016-03-19
14,21,3,S12,conference_room_small,conference,15,43,Dr. Jeana Bode DDS,NULL,NULL,NULL,NULL,2,80,160,0,160,2016-03-19
14,22,3,S13,conference_room_small,conference,15,43,Dr. Jeana Bode DDS,NULL,NULL,NULL,NULL,2,80,160,0,160,2016-03-19
15,23,2,D0,double_room,business,3,2,Tiarra Brekke,NULL,NULL,NULL,NULL,1,100,100,0,100,2016-01-10
16,24,5,L0,conference_room_large,conference,50,14,Migdalia Little,NULL,NULL,NULL,NULL,1,150,150,0,150,2016-03-22
17,25,1,X0,deluxe_room,holiday,3,4,Miss Vernetta Mitchell,NULL,NULL,NULL,NULL,9,150,1350,0,1350,2016-01-30
17,26,1,X1,deluxe_room,holiday,3,4,Miss Vernetta Mitchell,NULL,NULL,NULL,NULL,9,150,1350,0,1350,2016-01-30
18,27,3,S3,conference_room_small,wedding,15,54,Jaylyn Metz,NULL,NULL,NULL,NULL,3,80,240,0,240,2016-02-13
